,各地区按项目规模分城镇固定资产投资est,各地区按项目规模分城镇固定资产投资tst,新浪数据网站,
,,,
时间,地区,500万元以下项目(亿元),10亿元以上项目(亿元),5至10亿元项目(亿元),1至5亿元项目(亿元),500万元至1亿元项目(亿元),
1995,中国,1016.3,3807.5,1029,2493.9,3696.7,
1996,中国,1061.6,4371.5,1192.5,2931.8,4198.7,
1997,中国,1115.5,5342,1282.1,3163,4409.1,
1998,中国,1333.4,6508.7,1414,3585.9,5186.6,
1999,中国,1331,6164.7,1494.3,3899.7,5821.7,
2000,中国,1246.8,6219.1,1706.4,4485.1,6627.2,
2001,中国,1258,6655.6,1854.9,5301.7,7597.6,
2002,中国,1287.4,7505.8,2234.8,6335.3,9335.5,
2003,中国,1384.9,9271.2,3286.6,8911,12274.2,
2004,中国,1397.2,13246.6,4079.6,11576.9,14939.7,
2004,上海,24.5,865.1,177.5,358.7,261.8,
2004,黑龙江,37.3,355.2,114,255.1,301.7,
2004,吉林,17.4,198,68,283.9,320,
2004,辽宁,68.3,348.8,220,514,723.9,
2004,内蒙古,61.8,433.9,145.8,374.8,566,
2004,北京,3.5,335.4,98.5,277.6,144.8,
2004,新疆,66.5,294.1,51,192.2,328.1,
2004,江苏,48.5,1125.3,444.8,1055.7,1049.2,
2004,四川,71.7,360.1,179.5,459.1,740.9,
2004,云南,54.8,319.8,72.2,190.2,301.7,
2004,甘肃,47.8,159.8,38,122.9,217.5,
2004,青海,21.8,65.4,43,46.3,68.5,
2004,宁夏,10.9,52.9,22.5,53.7,108.4,
2004,重庆,35.2,318.7,90,241.3,313.6,
2004,浙江,46,782.5,239.5,802.3,811.6,
2004,安徽,49.5,254.2,115.7,331.7,501.9,
2004,福建,30.9,257.5,71.5,313.4,420.2,
2004,江西,33.7,261.5,103.2,337.9,477.1,
2004,山东,107.2,836.1,411.3,1451.9,1816.9,
2004,河南,67.5,474.5,203.6,560.3,798.4,
2004,湖北,63.4,501.6,125.5,381,552.8,
2004,湖南,58.5,249.5,88.7,316.7,600.1,
2004,山西,20.9,375.3,113.4,321.4,353,
2004,河北,77.6,329.1,165.3,561.6,930.5,
2004,天津,10.3,430.9,91.3,170,164.4,
2004,贵州,51.7,242.2,48.9,108,195,
2004,西藏,23.5,11.5,21.3,27.7,70.2,
2004,陕西,42.9,289.8,122,258,412.7,
2004,海南,8.7,82.3,6.4,61.7,69.7,
2004,广东,68.3,1312.9,292.9,918.6,994,
2004,广西,66.6,180.3,70.5,213.7,324.3,
2005,中国,1687.8,17835.3,5206.1,14564,19892.7,
2005,上海,24.5,993.5,235.1,418.7,279.9,
2005,黑龙江,38.3,409.2,144.9,348.9,372.3,
2005,吉林,32.1,299.3,134.1,401.7,518.5,
2005,辽宁,136.3,655.7,327.6,689.8,982.8,
2005,内蒙古,66.5,778.4,207.2,543.1,797.9,
2005,北京,3.2,481.4,167.3,288.4,130.1,
2005,新疆,65.8,465.1,61.6,178,337.9,
2005,江苏,71.5,1249.8,468.3,1412,1472.2,
2005,四川,93,452.8,212.8,558.2,973.6,
2005,云南,57.1,584.4,87.5,255.8,360.6,
2005,甘肃,50.7,204,34.7,136.4,273.5,
2005,青海,19.7,88.5,36.6,54.6,82.4,
