,上海私车牌照拍卖数据,上海私车牌照拍卖数据,上海市城市交通管理局,,,
,,,,,,
日期,投放数量,最低成交价,平均成交价,投标人数,最低成交价截止时间,最低成交价第几位出现
2013.8,9000,74700,74939,22650,11:29:24,30
2013.7,9000,76300,76465,21811,11:29:22,933
2013.6,9000,77600,77823,21482,11:21:22,2
2013.5,9000,80700,80803,22224,11:29:26,4
2013.4,11000,83900,84101,26174,11:27:04,3
2013.3,9000,90800,91898,23589,11:29:44,1
2013.2,9000,83300,83571,24651,11:29:59,113
2013.1,9000,75000,75332,20857,11:29:40,65
2012.12,9300,68900,69346,18244,11:29:21,13
2012.11,9500,66400,66946,19120,11:29:52,31
2012.1,9500,65200,66708,19921,11:29:48,8
2012.9,9500,65700,66425,19114,11:29:57,152
2012.8,9500,62100,62559,21425,11:29:54,1
2012.7,9500,57700,58271,26526,11:29:53,120
2012.6,9500,55800,58227,24774,11:29:45,4
2012.5,9300,64000,64367,24230,10:56:29,3
2012.4,8500,61000,61626,22706,11:29:57,251
2012.3,8000,58300,58625,24897,11:29:45,65
2012.2,8000,55400,55632,23391,11:29:59,155
2012.1,8000,52800,53195,24354,11:29:55,12
2011.12,8500,51000,51437,26531,11:29:51,171
2011.11,9000,45700,47635,20050,11:29:46,4
2011.1,9000,53800,54008,19415,11:29:53,196
2011.9,9500,52200,52622,22268,10:56:27,1
2011.8,9000,51000,52228,21544,11:29:56,64
2011.7,9000,50900,51174,21852,11:29:52,123
2011.6,9000,48500,48855,22474,10:59:54,2
2011.5,9000,47400,47700,25708,11:29:53,120
2011.4,8000,46300,47399,22326,11:29:53,210
2011.3,8000,46200,46657,25014,11:29:39,30
2011.2,7500,44200,44627,25104,11:29:46,101
2011.1,8000,38300,38771,30675,11:29:59,161
2010.12,9000,10400,15970,11224,11:21:39,2
2010.11,8500,44900,45291,13429,11:29:59,30
2010.1,9000,43000,43271,14941,11:29:38,48
2010.9,9000,41800,42180,15198,10:59:41,4
