,邮政行业运行情况,邮政行业运行情况,国家邮政局,http://www.chinawuliu.com.cn/xsyj/class_81.shtml,,
,,,,,,
日期,城市,快递业务量累计(万件),,,,
2013.5,上海市,32982.9,,,,
2013.5,北京市,31423.8,,,,
2013.5,广州市,26133.9,,,,
2013.5,深圳市,20636.7,,,,
2013.5,杭州市,14307.3,,,,
2013.5,金华（义乌）市,9874.6,,,,
2013.5,东莞市,9796.7,,,,
2013.5,苏州市,9607.6,,,,
2013.5,武汉市,6375.3,,,,
2013.5,南京市,5965.3,,,,
2013.5,成都市,5689,,,,
2013.5,泉州市,5284.7,,,,
2013.5,温州市,4743.1,,,,
2013.5,福州市,3913.6,,,,
2013.5,无锡市,3863.8,,,,
2013.5,郑州市,3826,,,,
2013.5,宁波市,3821.8,,,,
2013.5,重庆市,3523.7,,,,
2013.5,台州市,3371.7,,,,
2013.5,宿迁市,3244.9,,,,
2013.5,佛山市,3145,,,,
2013.5,嘉兴市,3108.2,,,,
2013.5,天津市,3093.9,,,,
2013.5,厦门市,2946.5,,,,
2013.5,长沙市,2856.1,,,,
2013.5,太原市,2706.4,,,,
2013.5,青岛市,2610.7,,,,
2013.5,济南市,2583.2,,,,
2013.5,西安市,2284.5,,,,
2013.5,石家庄市,2150.4,,,,
2013.5,南通市,2057.9,,,,
2013.5,绍兴市,2036.8,,,,
2013.5,中山市,1998.5,,,,
2013.5,合肥市,1915.7,,,,
2013.5,常州市,1912.9,,,,
2013.5,昆明市,1842.5,,,,
2013.5,沈阳市,1674.9,,,,
2013.5,乌鲁木齐市,1546.2,,,,
2013.5,哈尔滨市,1520.4,,,,
2013.5,珠海市,1469.2,,,,
2013.5,南宁市,1429.3,,,,
2013.5,莆田市,1383.9,,,,
2013.5,南昌市,1323.9,,,,
2013.5,湖州市,1278.7,,,,
2013.5,汕头市,1236.1,,,,
2013.5,保定市,1222.5,,,,
2013.5,扬州市,1159.2,,,,
2013.5,惠州市,1142.2,,,,
2013.5,大连市,1097.3,,,,
2013.5,徐州市,1067.5,,,,
