,邮政行业运行情况,邮政行业运行情况,国家邮政局,http://www.chinawuliu.com.cn/xsyj/class_81.shtml,,
,,,,,,
日期,城市,平均成交价（万元）,,,,
2013.5,上海市,894272.6,,,,
2013.5,深圳市,444581.9,,,,
2013.5,北京市,367993.7,,,,
2013.5,广州市,357959.1,,,,
2013.5,杭州市,189332.3,,,,
2013.5,苏州市,183492,,,,
2013.5,东莞市,161296.5,,,,
2013.5,金华（义乌）市,104047.8,,,,
2013.5,宁波市,81322.2,,,,
2013.5,南京市,78334.9,,,,
2013.5,武汉市,77780.3,,,,
2013.5,成都市,74021.9,,,,
2013.5,温州市,71972.2,,,,
2013.5,天津市,66112.1,,,,
2013.5,泉州市,65314.5,,,,
2013.5,无锡市,62908.7,,,,
2013.5,西安市,61997.7,,,,
2013.5,厦门市,59654.3,,,,
2013.5,福州市,56517.5,,,,
2013.5,青岛市,56458.2,,,,
2013.5,郑州市,52065.2,,,,
2013.5,佛山市,50521.8,,,,
2013.5,嘉兴市,49142.1,,,,
2013.5,重庆市,48739.8,,,,
2013.5,长沙市,45686.1,,,,
2013.5,济南市,44616.1,,,,
2013.5,台州市,42458.5,,,,
2013.5,常州市,37337,,,,
2013.5,中山市,36132.7,,,,
2013.5,南通市,33943.7,,,,
2013.5,石家庄市,32954.4,,,,
2013.5,绍兴市,32950.5,,,,
2013.5,沈阳市,32877.7,,,,
2013.5,合肥市,30883.5,,,,
2013.5,昆明市,29994.4,,,,
2013.5,珠海市,27810.2,,,,
2013.5,大连市,25956.7,,,,
2013.5,惠州市,23209.7,,,,
2013.5,哈尔滨市,22379.5,,,,
2013.5,南昌市,21612.1,,,,
2013.5,南宁市,20824.5,,,,
2013.5,莆田市,20447.8,,,,
2013.5,长春市,18795.6,,,,
2013.5,乌鲁木齐市,18574,,,,
2013.5,潍坊市,17970.6,,,,
2013.5,宿迁市,17858.9,,,,
2013.5,扬州市,17783.6,,,,
2013.5,汕头市,16198.4,,,,
2013.5,江门市,15689.8,,,,
2013.5,烟台市,15472.3,,,,
