,邮政行业运行情况,邮政行业运行情况,国家邮政局,http://www.chinawuliu.com.cn/xsyj/class_81.shtml
,,,,
日期,地区,快递业务量累计(万件),快递收入累计(万元),
2013.5,全国,311862.6,5140708.8,
2013.5,北京,31423.8,367993.7,
2013.5,天津,3093.9,66112.1,
2013.5,河北,6961.2,102049.6,
2013.5,山西,3683.2,24781.3,
2013.5,内蒙古,1088.2,26098,
2013.5,辽宁,4062.3,82197.4,
2013.5,吉林,1685.7,32066.5,
2013.5,黑龙江,2139.9,36457.6,
2013.5,上海,32982.9,894272.6,
2013.5,江苏,32797.9,496782.7,
2013.5,浙江,43847,601145.8,
2013.5,安徽,4672.1,68227.3,
2013.5,福建,15194.9,227799.2,
2013.5,江西,3088.3,45141.6,
2013.5,山东,10932.5,207041.3,
2013.5,河南,6639,95241.7,
2013.5,湖北,8486.2,107571.9,
2013.5,湖南,5417.1,72206.9,
2013.5,广东,69426.8,1175124.9,
2013.5,广西,2401.9,40854.6,
2013.5,海南,743.8,10893.5,
2013.5,重庆,3523.7,48739.8,
2013.5,四川,7442.1,109792,
2013.5,贵州,1123.5,21127.4,
2013.5,云南,2432.9,41299.4,
2013.5,西藏,134,4974.2,
2013.5,陕西,3453.5,76675.3,
2013.5,甘肃,608.2,14577.2,
2013.5,青海,144.1,4072,
2013.5,宁夏,357.7,11506.2,
2013.5,新疆,1874.4,27885.2,
,,,,
